ds,yhat,yhat_lower,yhat_upper,Vehicle_Category
2022-04-01,16878.290908480998,7342.401782987379,38328.315307479745,2-Wheelers
2022-05-01,15956.003544679234,7164.91662734522,37307.09615118436,2-Wheelers
2022-06-01,22382.500472547494,9911.88830962341,53061.814283649146,2-Wheelers
2022-07-01,27402.614230629726,12360.063570228005,62809.434006229596,2-Wheelers
2022-08-01,29200.19085529317,12843.9979449396,66082.6336366839,2-Wheelers
2022-09-01,33722.76511471626,15436.192986367485,76567.65185741235,2-Wheelers
2022-10-01,44117.34818286772,18402.51663661508,97755.85982880542,2-Wheelers
2022-11-01,54159.99226084972,23217.073306179565,117913.0662476463,2-Wheelers
2022-12-01,50781.67902665144,21980.780189085013,115530.87387084398,2-Wheelers
2023-01-01,51398.61608946164,22325.14514431121,118517.50267724409,2-Wheelers
2023-02-01,56534.82276737085,25392.41144970211,125171.40780925025,2-Wheelers
2023-03-01,100911.6616564055,41120.782236987216,241767.0716099873,2-Wheelers
2023-04-01,50617.396505320874,21104.96875265613,119913.80735343261,2-Wheelers
2023-05-01,43700.32502202065,19368.4230273435,98449.23594205995,2-Wheelers
2023-06-01,54943.2483537366,23109.478000521736,125181.84774296214,2-Wheelers
2023-07-01,68773.1870944869,31234.292048110296,148484.01095194963,2-Wheelers
2023-08-01,77108.53693511926,32024.886482951813,176267.8431894553,2-Wheelers
2023-09-01,90175.7153649414,39155.24712185667,198951.49606891442,2-Wheelers
2023-10-01,126453.81768298165,54625.17250132633,304416.33854994056,2-Wheelers
2023-11-01,158466.43445983855,69194.49129038818,380320.6913697769,2-Wheelers
2023-12-01,137959.12775929016,58755.012978567174,317266.3625282443,2-Wheelers
2024-01-01,133898.36481254568,60218.71657359597,287680.03938741854,2-Wheelers
2024-02-01,143239.00413247882,61617.6937274245,310190.91744669504,2-Wheelers
2024-03-01,330710.8877323633,152675.17545812635,761162.1855372385,2-Wheelers
2024-04-01,86015.71743232466,37579.27611555978,195127.36373056934,2-Wheelers
2024-05-01,92305.53475440101,43659.49700440757,211594.62550585618,2-Wheelers
2024-06-01,182712.58086607986,81591.89303536782,410929.00475796656,2-Wheelers
2024-07-01,226226.86292765746,101310.95063476913,515852.6255586565,2-Wheelers
2024-08-01,214820.7522282491,93639.73410639766,485037.81152634224,2-Wheelers
2024-09-01,247389.02240798576,105476.58756673551,537236.7209264204,2-Wheelers
2024-10-01,298876.5361519275,139582.03387357903,726489.4282426061,2-Wheelers
2024-11-01,365305.0195150133,167048.56962134925,804556.1377566044,2-Wheelers
2024-12-01,378664.7363782514,163460.8183339589,881624.6504324666,2-Wheelers
2025-01-01,408983.21723797,177238.0182606946,940137.7805132823,2-Wheelers
2014-01-01,33.77855057426216,17.827343971503304,66.20577045518228,4-Wheelers
2014-02-01,39.44806774569421,21.282856545626647,72.79506865374515,4-Wheelers
2014-03-01,45.028005822950114,23.85065996551549,83.57580248884317,4-Wheelers
2014-04-01,27.90542024160728,15.05499212922857,51.86449047573698,4-Wheelers
2014-05-01,32.97451756377116,16.676745145059016,61.83003789751004,4-Wheelers
2014-06-01,37.173675133167336,20.165614609993348,69.35116946702753,4-Wheelers
2014-07-01,38.921660272829314,20.88117159792397,72.97202656891479,4-Wheelers
2014-08-01,39.44132292064072,20.777501976351306,72.49442893734162,4-Wheelers
