date,State,Vehicle_Category,ev_sales
2014-05,West Bengal,2-Wheelers,0.0
2014-05,West Bengal,4-Wheelers,1.0
2014-06,Andaman & Nicobar Island,2-Wheelers,0.0
2014-06,Andaman & Nicobar Island,4-Wheelers,0.0
2014-06,Andhra Pradesh,2-Wheelers,0.0
2014-06,Andhra Pradesh,4-Wheelers,1.0
2014-06,Arunachal Pradesh,2-Wheelers,0.0
2014-06,Arunachal Pradesh,4-Wheelers,0.0
2014-06,Assam,2-Wheelers,0.0
2014-06,Assam,4-Wheelers,0.0
2014-06,Bihar,2-Wheelers,0.0
2014-06,Bihar,4-Wheelers,0.0
2014-06,Chandigarh,2-Wheelers,0.0
2014-06,Chandigarh,4-Wheelers,0.0
2014-06,Chhattisgarh,2-Wheelers,10.0
2014-06,Chhattisgarh,4-Wheelers,0.0
2014-06,DNH and DD,2-Wheelers,0.0
2014-06,DNH and DD,4-Wheelers,0.0
2014-06,Delhi,2-Wheelers,3.0
2014-06,Delhi,4-Wheelers,3.0
2014-06,Goa,2-Wheelers,0.0
2014-06,Goa,4-Wheelers,0.0
2014-06,Gujarat,2-Wheelers,4.0
2014-06,Gujarat,4-Wheelers,0.0
2014-06,Haryana,2-Wheelers,0.0
2014-06,Haryana,4-Wheelers,0.0
2014-06,Himachal Pradesh,2-Wheelers,0.0
2014-06,Himachal Pradesh,4-Wheelers,0.0
2014-06,Jammu and Kashmir,2-Wheelers,0.0
2014-06,Jammu and Kashmir,4-Wheelers,0.0
2014-06,Jharkhand,2-Wheelers,0.0
2014-06,Jharkhand,4-Wheelers,0.0
2014-06,Karnataka,2-Wheelers,17.0
2014-06,Karnataka,4-Wheelers,13.0
2014-06,Kerala,2-Wheelers,1.0
2014-06,Kerala,4-Wheelers,0.0
2014-06,Ladakh,2-Wheelers,0.0
2014-06,Ladakh,4-Wheelers,0.0
2014-06,Madhya Pradesh,2-Wheelers,3.0
2014-06,Madhya Pradesh,4-Wheelers,0.0
2014-06,Maharashtra,2-Wheelers,54.0
2014-06,Maharashtra,4-Wheelers,4.0
2014-06,Manipur,2-Wheelers,0.0
2014-06,Manipur,4-Wheelers,0.0
2014-06,Meghalaya,2-Wheelers,0.0
2014-06,Meghalaya,4-Wheelers,0.0
2014-06,Mizoram,2-Wheelers,0.0
2014-06,Mizoram,4-Wheelers,0.0
2014-06,Nagaland,2-Wheelers,0.0
2014-06,Nagaland,4-Wheelers,0.0
2014-06,Odisha,2-Wheelers,3.0
2014-06,Odisha,4-Wheelers,0.0
2014-06,Puducherry,2-Wheelers,0.0
2014-06,Puducherry,4-Wheelers,0.0
2014-06,Punjab,2-Wheelers,3.0
2014-06,Punjab,4-Wheelers,0.0
2014-06,Rajasthan,2-Wheelers,0.0
2014-06,Rajasthan,4-Wheelers,0.0
2014-06,Sikkim,2-Wheelers,0.0
2014-06,Sikkim,4-Wheelers,0.0
2014-06,Tamil Nadu,2-Wheelers,4.0
2014-06,Tamil Nadu,4-Wheelers,2.0
2014-06,Tripura,2-Wheelers,0.0
2014-06,Tripura,4-Wheelers,0.0
2014-06,Uttar Pradesh,2-Wheelers,7.0
2014-06,Uttar Pradesh,4-Wheelers,0.0
2014-06,Uttarakhand,2-Wheelers,0.0
2014-06,Uttarakhand,4-Wheelers,0.0
2014-06,West Bengal,2-Wheelers,0.0
2014-06,West Bengal,4-Wheelers,0.0
2014-07,Andaman & Nicobar Island,2-Wheelers,0.0
2014-07,Andaman & Nicobar Island,4-Wheelers,0.0
2014-07,Andhra Pradesh,2-Wheelers,2.0
2014-07,Andhra Pradesh,4-Wheelers,0.0
2014-07,Arunachal Pradesh,2-Wheelers,0.0
2014-07,Arunachal Pradesh,4-Wheelers,0.0
2014-07,Assam,2-Wheelers,0.0
2014-07,Assam,4-Wheelers,0.0
2014-07,Bihar,2-Wheelers,0.0
2014-07,Bihar,4-Wheelers,0.0
2014-07,Chandigarh,2-Wheelers,0.0
2014-07,Chandigarh,4-Wheelers,0.0
2014-07,Chhattisgarh,2-Wheelers,13.0
2014-07,Chhattisgarh,4-Wheelers,0.0
2014-07,DNH and DD,2-Wheelers,0.0
2014-07,DNH and DD,4-Wheelers,0.0
2014-07,Delhi,2-Wheelers,2.0
2014-07,Delhi,4-Wheelers,1.0
2014-07,Goa,2-Wheelers,0.0
2014-07,Goa,4-Wheelers,0.0
2014-07,Gujarat,2-Wheelers,2.0
2014-07,Gujarat,4-Wheelers,0.0
2014-07,Haryana,2-Wheelers,0.0
2014-07,Haryana,4-Wheelers,0.0
2014-07,Himachal Pradesh,2-Wheelers,0.0
2014-07,Himachal Pradesh,4-Wheelers,0.0
2014-07,Jammu and Kashmir,2-Wheelers,0.0
2014-07,Jammu and Kashmir,4-Wheelers,0.0
2014-07,Jharkhand,2-Wheelers,0.0
2014-07,Jharkhand,4-Wheelers,0.0
2014-07,Karnataka,2-Wheelers,23.0
2014-07,Karnataka,4-Wheelers,10.0
2014-07,Kerala,2-Wheelers,1.0
2014-07,Kerala,4-Wheelers,0.0
2014-07,Ladakh,2-Wheelers,0.0
2014-07,Ladakh,4-Wheelers,0.0
2014-07,Madhya Pradesh,2-Wheelers,7.0
2014-07,Madhya Pradesh,4-Wheelers,0.0
2014-07,Maharashtra,2-Wheelers,64.0
2014-07,Maharashtra,4-Wheelers,5.0
2014-07,Manipur,2-Wheelers,0.0
2014-07,Manipur,4-Wheelers,0.0
2014-07,Meghalaya,2-Wheelers,0.0
2014-07,Meghalaya,4-Wheelers,0.0
2014-07,Mizoram,2-Wheelers,0.0
2014-07,Mizoram,4-Wheelers,0.0
2014-07,Nagaland,2-Wheelers,0.0
2014-07,Nagaland,4-Wheelers,0.0
2014-07,Odisha,2-Wheelers,4.0
2014-07,Odisha,4-Wheelers,0.0
2014-07,Puducherry,2-Wheelers,0.0
2014-07,Puducherry,4-Wheelers,0.0
2014-07,Punjab,2-Wheelers,0.0
2014-07,Punjab,4-Wheelers,1.0
2014-07,Rajasthan,2-Wheelers,6.0
2014-07,Rajasthan,4-Wheelers,0.0
2014-07,Sikkim,2-Wheelers,0.0
2014-07,Sikkim,4-Wheelers,0.0
2014-07,Tamil Nadu,2-Wheelers,10.0
2014-07,Tamil Nadu,4-Wheelers,0.0
2014-07,Tripura,2-Wheelers,0.0
2014-07,Tripura,4-Wheelers,0.0
2014-07,Uttar Pradesh,2-Wheelers,20.0
2014-07,Uttar Pradesh,4-Wheelers,0.0
2014-07,Uttarakhand,2-Wheelers,0.0
2014-07,Uttarakhand,4-Wheelers,0.0
2014-07,West Bengal,2-Wheelers,0.0
2014-07,West Bengal,4-Wheelers,0.0
